name,category,use_case,description,url,free,input,output,how_to_use
RBS Calculator,Expression Design,Design and predict RBS sequences for target expression levels,Predicts translation initiation rates from RBS and coding sequences. Most widely cited tool in iGEM for tuning protein expression in bacteria.,https://salislab.net/software/,Yes,DNA sequence,RBS strength / optimized sequence,"Paste your coding sequence start region into the calculator. Set your target translation initiation rate (start with 10,000 au for moderate expression). The tool outputs an optimized RBS sequence you can order directly from IDT. iGEM teams use this to fine-tune expression of reporter genes and enzymes before cloning."
Benchling,Sequence Design & ELN,DNA design + electronic lab notebook,Cloud platform for sequence design primer design codon optimization and lab notebook. Free for academic users. Official iGEM sponsor. Used by majority of iGEM teams.,https://benchling.com,Yes,DNA/protein sequence,Annotated plasmid maps / primers / lab records,"Sign up with your university email for free academic access. Create a project folder for your team. Design plasmids using the sequence editor — annotate features drag and drop parts and use the built-in primer designer. Store all protocols and results in the lab notebook. Share access with all team members so everyone sees the same version of constructs."
SnapGene,Sequence Design,Plasmid design and cloning simulation,Desktop tool for plasmid visualization Gibson/Golden Gate simulation and Sanger alignment. Wizard-driven cloning design with automatic primer suggestions. Free viewer available.,https://snapgene.com,Freemium,DNA sequence,Plasmid map / cloning primers,"Download the free Viewer to open .dna files or use the full version (free for iGEM). Import your vector sequence and insert. Use the Cloning Wizard to simulate Gibson Assembly — it automatically designs primers with correct overlaps and checks the final construct. Verify your Sanger sequencing results by aligning reads to your plasmid map."
ApE (A Plasmid Editor),Sequence Design,Free plasmid editing and cloning simulation,Free desktop plasmid editor with built-in simulators for PCR Gibson restriction-ligation and Golden Gate assembly. No installation required on Mac.,https://jorgensen.biology.utah.edu/wayned/ape/,Yes,DNA sequence,Plasmid map / restriction map,"Download and open ApE. Paste your sequence or open a GenBank file. Use Enzyme → Single Cutters to find restriction sites for analytical digests. For Gibson Assembly use the In-Silico PCR function to simulate your amplicons. Color-code your annotations by feature type for easy visualization in lab meetings."
NEBuilder,Cloning Design,Gibson Assembly primer design,NEB's official Gibson Assembly design tool. Designs primers with correct overlaps for any combination of fragments automatically.,https://nebuilder.neb.com,Yes,Fragment sequences + vector,Gibson Assembly primers,"Go to the NEBuilder website and create a new assembly. Paste in your vector sequence (linearized) and each insert sequence. Set the overlap length (20 bp default works well). The tool outputs primer sequences for each fragment — order these from IDT or Sigma. Always verify the assembled sequence in SnapGene before ordering."
NEBCutter,Sequence Analysis,Restriction enzyme site finder,Finds all restriction enzyme cut sites in a DNA sequence. Essential for restriction cloning and analytical digest planning.,https://nc3.neb.com/NEBcutter/,Yes,DNA sequence,Restriction site map,"Paste your plasmid sequence and select which enzyme sets to search (NEB recommends checking all commercial enzymes). Filter for enzymes that cut once in your insert and zero times in your backbone. Use the results to plan your restriction cloning strategy or design analytical digest patterns to verify correct cloning."
COPASI,Modeling,ODE-based modeling of genetic circuits and biochemical networks,Most widely used modeling tool in iGEM. Models promoter dynamics protein production and degradation as systems of ODEs. Graphical interface no coding required.,https://copasi.org,Yes,SBML model / kinetic parameters,Time-course simulations / steady states,"Download COPASI and create a new model. Add species (proteins mRNAs) and reactions (transcription translation degradation). Enter rate constants from literature — start with typical E. coli parameters (mRNA half-life ~2 min protein half-life ~60 min). Run a time-course simulation to predict steady-state expression. Compare to your experimental fluorescence data to validate the model."
MATLAB,Modeling,Mathematical modeling and data analysis,Commercial software offered free to iGEM teams. Used for ODE modeling signal processing and data fitting. Simulink extension for block-diagram circuit modeling.,https://matlab.mathworks.com,Free for iGEM,Mathematical equations / data,Simulations / plots,"Apply for free MATLAB access through iGEM's partnership. Use the ode45 solver to numerically integrate your ODE system. The Curve Fitting Toolbox helps extract kinetic parameters from experimental data. Simulink is useful for modeling feedback circuits visually. Export figures directly for your wiki."
Tellurium,Modeling,Python-based systems biology modeling,Python library for SBML-based modeling of biological networks. Combines roadrunner simulation engine with Antimony model description language.,https://tellurium.analogmachine.org,Yes,Antimony / SBML model,Simulation results / plots,"Install via pip: pip install tellurium. Write your model in Antimony notation (similar to chemical equations). Run simulations with r.simulate() and plot with matplotlib. Tellurium is ideal if your team already uses Python — integrates with Jupyter notebooks for reproducible modeling pages on your wiki."
AlphaFold,Protein Structure,Protein structure prediction from sequence,DeepMind's revolutionary structure prediction tool. Predicts 3D protein structures from amino acid sequence with near-experimental accuracy. Database of 200M+ predicted structures.,https://alphafold.ebi.ac.uk,Yes,Protein sequence,3D structure (PDB file),"Search the AlphaFold database first — your protein may already have a prediction. For novel sequences use ColabFold (colab.research.google.com) for free GPU-accelerated prediction. Download the PDB file and open in PyMOL to visualize binding sites. Check the pLDDT confidence score — regions above 70 are reliable for structural interpretation."
ESMFold,Protein Structure,Fast protein structure prediction,Meta's protein language model for fast structure prediction. Useful for rapid screening of multiple variants. API available.,https://esmatlas.com/resources?action=fold,Yes,Protein sequence,3D structure,"Use the ESMFold web server to quickly predict structures for multiple protein variants without waiting for AlphaFold. Paste up to 400 amino acids and get a structure in seconds. Compare variant structures to identify mutations that affect the binding pocket or stability. ESMFold is faster than AlphaFold — ideal for screening libraries."
PyMOL,Protein Visualization,3D protein structure visualization,Industry-standard tool for visualizing and analyzing protein structures. Used in iGEM to present structural results and design binding interfaces. Educational license free.,https://pymol.org,Freemium,PDB structure file,3D visualization / images,"Apply for a free educational license at pymol.org/edu. Load your PDB file with File → Open. Use the Show menu to switch between cartoon ribbon and surface representations. Color by chain or by B-factor/pLDDT. For figures use Ray → Ray to render high-quality images for your wiki. Use the Measurement Wizard to calculate distances between residues."
CRISPOR,CRISPR Design,Guide RNA design and off-target scoring,Designs guide RNAs for any CRISPR system and scores off-target sites. Supports 100+ genomes and multiple Cas proteins.,https://crispor.tefor.net,Yes,Target sequence + genome,gRNA sequences + off-target scores,"Paste your target DNA sequence (200 bp around the cut site) and select your organism and Cas protein. CRISPOR outputs all possible guide RNAs ranked by efficiency score and off-target risk. Select guides with high on-target score (>50) and low off-target score. Order the top 3 guides and test all in parallel — efficiency varies in practice."
Cas-OFFinder,CRISPR Design,Off-target site finder for CRISPR,Fast algorithm for finding all potential off-target sites for a given guide RNA. Essential for validating CRISPR specificity.,http://www.rgenome.net/cas-offinder/,Yes,Guide RNA + genome,Off-target site list,"Enter your guide RNA sequence and PAM and select your target genome. Set the mismatch threshold (2-3 mismatches is standard for validation). Download the results and check whether off-target sites are in coding regions or regulatory elements. Run this before committing to a guide sequence — finding off-targets early saves weeks."
IDT OligoAnalyzer,Primer Analysis,Primer Tm and secondary structure analysis,Analyzes primer melting temperature hairpin formation and dimer formation. Used to validate primers before ordering.,https://www.idtdna.com/calc/analyzer,Yes,Primer sequence,Tm / secondary structure analysis,"Paste each primer sequence into OligoAnalyzer and set your PCR conditions (salt concentration and oligo concentration). Check that Tm is within 2°C of your other primer. Look at the hairpin and dimer ΔG values — anything more negative than -9 kcal/mol may cause problems. Redesign primers with strong self-complementarity before ordering."
Primer3,Primer Design,PCR primer design,Classic primer design tool. Designs primers for PCR sequencing and hybridization with full control over Tm GC content and amplicon size.,https://primer3.ut.ee,Yes,Template sequence + parameters,Primer pairs,"Paste your template sequence and mark the region to amplify with brackets []. Set product size range (typically 500-1000 bp for colony PCR) and Tm range (58-62°C). Primer3 outputs multiple primer pairs ranked by quality. Always check candidates in OligoAnalyzer before ordering and BLAST them against your organism's genome to check for off-target binding."
NCBI BLAST,Sequence Analysis,Sequence similarity search,Searches sequence databases to find homologous sequences. Essential for verifying part sequences confirming gene identity and finding related proteins.,https://blast.ncbi.nlm.nih.gov,Yes,DNA or protein sequence,Sequence alignments + similarity scores,"Use BLASTn for DNA sequences and BLASTp for proteins. After receiving your synthesized gene BLAST it against the nr database to confirm identity. For finding homologs of your target enzyme use BLASTp to identify candidates from other organisms with potentially better properties. Filter results by percent identity and coverage."
Clustal Omega,Sequence Analysis,Multiple sequence alignment,Aligns multiple DNA or protein sequences to identify conserved regions. Used in iGEM for comparing promoter variants or protein homologs.,https://www.ebi.ac.uk/Tools/msa/clustalo/,Yes,Multiple sequences,Multiple sequence alignment,"Paste multiple sequences in FASTA format and run the alignment. Conserved residues appear as asterisks below the alignment — these are usually functionally critical. Use the alignment to identify which positions to mutate for directed evolution. Export as ClustalW format and open in Jalview for color-coded visualization."
SWISS-MODEL,Protein Modeling,Homology modeling of protein structures,Automated homology modeling server. Builds 3D protein models based on known template structures. Widely used when AlphaFold confidence is low.,https://swissmodel.expasy.org,Yes,Protein sequence,3D homology model,"Go to the SWISS-MODEL server and paste your protein sequence. The server automatically finds the best template structure and builds a model. Check the QMEAN score — values above -4 indicate a reliable model. Download the PDB file and open in PyMOL. Use the model to guide mutagenesis experiments by identifying active site residues."
Rosetta,Protein Design,Protein design and structure prediction,Suite of algorithms for protein structure prediction design and modeling. Used in iGEM for enzyme design and protein engineering.,https://www.rosettacommons.org,Free for academic,Protein sequence / structure,Designed sequence / predicted structure,"Apply for a free academic license. Use the RosettaCommons tutorials to get started. For most iGEM applications PyRosetta (Python interface) is easiest — install via pip. Use the FastRelax protocol to optimize a protein structure after mutation. The InterfaceAnalyzer app evaluates binding affinity changes from mutations."
iGEM Parts Registry,Parts & Registry,Search biological parts and BioBricks,Central repository of standard biological parts used in iGEM. Contains promoters RBS coding sequences and terminators with characterization data.,https://parts.igem.org,Yes,Part name or function,Part sequence + characterization data,"Search by function (e.g. 'GFP reporter') or browse by category. Check the Experience tab for each part — this shows results from other teams who used it. Prefer parts with 'Works' experience ratings and multiple data points. Download sequences as FASTA or GenBank. Always verify your received part by sequencing before using in experiments."
SynBioHub,Parts & Registry,Parts repository with SBOL support,Open-source repository for synthetic biology designs. Stores and shares genetic designs in SBOL format. Integrated with Benchling and other tools.,https://synbiohub.org,Yes,Part name / sequence,SBOL design files,"Search SynBioHub for your gene of interest or part. Download designs as SBOL2 or FASTA. Use the SynBioHub plugin in Benchling to import parts directly into your design environment. When depositing your own parts create a collection for your team and add all characterized parts with their sequence and experimental data."
Addgene,Parts & Registry,Plasmid repository and protocols,Non-profit plasmid repository. Teams deposit and share plasmids. Extensive protocol library for standard molecular biology techniques.,https://addgene.org,Yes,Search query,Plasmid + protocol,"Search for your backbone vector (e.g. pUC19 pET28a) by name. Request plasmids directly from Addgene — delivery takes 1-2 weeks so order early. Read the depositing lab's protocol in the plasmid page notes. After your project deposit your characterized plasmids so future teams can build on your work."
iBioSim,Modeling,Genetic circuit design and simulation,Tool for modeling and simulation of genetic circuits using SBML. Integrates design verification and simulation in one environment.,https://github.com/MyersResearchGroup/iBioSim,Yes,SBML model,Simulation / verification results,"Download iBioSim from GitHub. Use the SBOL Canvas integration to draw your genetic circuit graphically. Convert the design to an SBML model automatically. Run stochastic simulations to model cell-to-cell variability in expression — important for toggle switches and oscillators. Export simulation results as CSV for plotting."
BOOST,Sequence Design,Sequence optimization for synthesis,JBEI tool for codon optimization reverse translation and sequence verification against synthesis constraints like GC content and repeats.,https://boost.jbei.org,Yes,Protein sequence / DNA,Optimized DNA sequence,"Go to the BOOST web server and paste your protein sequence. Select your host organism for codon optimization. Set constraints for GC content (40-60%) and repeat removal to ensure the sequence can be synthesized without errors. Download the optimized DNA sequence and verify it in SnapGene before submitting to your synthesis provider."
Geneious Prime,Sequence Analysis,Comprehensive sequence analysis platform,Full-featured bioinformatics platform for sequence assembly alignment annotation and analysis. Offered free to iGEM teams alongside SnapGene.,https://geneious.com,Free for iGEM,DNA/protein sequences,Annotated sequences / phylogenies,"Apply for free iGEM access. Import your Sanger sequencing .ab1 files directly. Use the De Novo Assembly function to assemble reads and check coverage. The built-in annotation tools automatically identify ORFs promoters and restriction sites. Build phylogenetic trees from multiple sequence alignments to show evolutionary context of your target gene."
WebLogo,Sequence Analysis,Sequence conservation visualization,Creates sequence logo diagrams showing conservation at each position in an alignment. Used to visualize promoter and RBS conservation.,https://weblogo.threeplusone.com,Yes,Multiple sequence alignment,Sequence logo image,"Run your multiple sequence alignment in Clustal Omega first. Paste the alignment output into WebLogo. Adjust the output format (PNG PDF) and size for your wiki. Sequence logos clearly show which positions are conserved (tall letters) versus variable (short letters) — use this to identify key residues in your promoter or protein."
protocols.io,Lab Management,Protocol sharing and version control,Platform for writing sharing and versioning wet-lab protocols. Many iGEM teams publish their protocols here. DOI-citable.,https://protocols.io,Yes,Written protocol,Shareable DOI-linked protocol,"Create a free account and search for existing protocols before writing your own — many standard procedures (Gibson Assembly miniprep transformation) are already there. When writing new protocols use the step-by-step editor with materials list. Publish your protocol to get a DOI — this satisfies iGEM's documentation requirements and lets other teams cite your methods."
FPbase,Fluorescent Proteins,Fluorescent protein database and comparison,Database of fluorescent protein properties including excitation/emission spectra brightness and photostability. Essential for choosing reporters.,https://fpbase.org,Yes,Search query,FP properties + spectra,"Search FPbase for fluorescent proteins compatible with your microscope filter sets. Use the Spectra Viewer to check for spectral overlap between multiple FPs if doing co-localization experiments. Compare brightness (EC × QY) and photostability values when choosing between variants. mNeonGreen and mScarlet are current favorites for high brightness."
Non-Repetitive Parts Calculator,Expression Design,Design non-repetitive genetic parts,Salis Lab tool for designing libraries of non-repetitive promoters RBS and other regulatory elements to avoid recombination.,https://salislab.net/software/,Yes,Target expression levels,Non-repetitive part library,"Use this when building circuits with multiple copies of similar elements — e.g. multiple T7 promoters or Anderson promoters that could recombine. Input your target expression levels for each part. The calculator outputs sequences that are functionally equivalent but have low sequence similarity preventing recombination. Essential for multi-gene circuits."
MUSCLE,Sequence Analysis,Fast multiple sequence alignment,Fast and accurate multiple sequence alignment algorithm. Alternative to Clustal for large datasets.,https://www.ebi.ac.uk/Tools/msa/muscle/,Yes,Multiple sequences,Multiple sequence alignment,"Use MUSCLE when aligning more than 50 sequences — it's faster than Clustal Omega at scale. Submit sequences in FASTA format through the EBI server. The output alignment can be imported into Jalview or used directly in WebLogo. For phylogenetic analysis in iGEM projects MUSCLE alignments feed into IQ-TREE for maximum likelihood trees."
I-TASSER,Protein Modeling,Protein structure and function prediction,Server for automated protein structure prediction and functional annotation. Consistently top-ranked in CASP competitions.,https://zhanggroup.org/I-TASSER/,Yes,Protein sequence,3D structure + function predictions,"Submit your sequence to the I-TASSER server (registration required — free for academic). Results arrive by email in 1-5 days depending on server load. I-TASSER predicts both structure and likely function by threading against known protein families. The C-score confidence metric ranges from -5 to 2 — higher is better. Use I-TASSER when you need function prediction alongside structure."
CRISPRscan,CRISPR Design,Guide RNA efficiency prediction,Predicts guide RNA efficiency using machine learning model trained on in vivo data. Used to rank guides before experimental validation.,https://crisprscan.org,Yes,Target sequence,Efficiency-scored gRNA list,"Enter your target gene sequence and select your organism and Cas9 variant. CRISPRscan outputs guides ranked by predicted cutting efficiency. Select top-ranked guides that also have low off-target scores from CRISPOR. Order 3 guides per target and validate by T7E1 assay or sequencing. High CRISPRscan score correlates with high in vivo efficiency."
Opentrons,Lab Automation,Liquid handling automation for wet lab protocols,Open-source liquid handling robot widely used in iGEM for automating repetitive pipetting tasks. Protocol software is Python-based and free.,https://opentrons.com,Free software,Python protocol script,Automated liquid handling,"Write your protocol in Python using the Opentrons API (pip install opentrons). Simulate first on your computer to check for errors. Load your deck layout (tip boxes reagent tubes plates) and run on the robot. Common iGEM applications: automated transformation plating colony picking and serial dilutions. The protocol simulator catches errors before you run on actual samples."
ImageJ / FIJI,Imaging Analysis,Microscopy image analysis and quantification,Free open-source image analysis platform. Standard tool for quantifying fluorescence microscopy images in iGEM projects.,https://imagej.net/software/fiji/,Yes,Microscopy images,Quantified fluorescence / cell counts,"Download FIJI (the ImageJ distribution with plugins). For fluorescence quantification use Analyze → Measure after setting a threshold. Use the Cell Counter plugin to count colonies or cells. For time-lapse data use the TrackMate plugin. Always subtract background fluorescence from a non-fluorescent control. Export data as CSV for plotting in Python or R."
FlowJo,Flow Cytometry,Flow cytometry data analysis,Industry-standard flow cytometry analysis software. Used to quantify GFP/RFP expression at single-cell level in iGEM biosensor projects.,https://flowjo.com,Paid,FCS flow cytometry files,Population statistics / plots,"Open your FCS files in FlowJo. Create a gate hierarchy: scatter plot (FSC/SSC) to select live cells then fluorescence gate to separate positive from negative populations. Calculate the geometric mean fluorescence intensity (gMFI) for your reporter — this is more accurate than arithmetic mean for log-distributed data. Export statistics as CSV."
CellProfiler,Imaging Analysis,Automated cell image analysis,Free open-source platform for automated analysis of biological images. Quantifies cell morphology fluorescence and phenotypic features.,https://cellprofiler.org,Yes,Microscopy images,Cell measurements / phenotype data,"Download CellProfiler and build a pipeline using the module drag-and-drop interface. Start with IdentifyPrimaryObjects to segment cells then MeasureObjectIntensity for fluorescence. Run on a batch of images for high-throughput analysis. CellProfiler excels at measuring subtle phenotype differences between conditions — useful for characterizing biosensor dose-response."
